CKG_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_MTRL_CN,vegetarian_type
두부유부초밥,1421,0,4,기타,기타,기타,['재료 유부피8개 두부205g 김밥용 단무지2줄 초밥소스12큰술 볶음조미 깨1봉지'],Super_Vegan
양송이버섯볶음,1383,0,22,볶음,버섯류,밑반찬,['재료 양송이버섯150g 양파14개 마늘2톨 올리브오일3숟가락 소금12작은숟가락 후춧가루1꼬집'],Super_Vegan
찐단호박,8825,0,9,찜,채소류,메인반찬,['재료 단호박1개'],Super_Vegan
달가슴살치킨,1037,0,30,튀김,닭고기,양식,['재료 닭가슴살200g 라이스페이퍼10장 올리브유1T 소금약간 후추약간 스리라차 소스취향껏'],Omnivore
비빔쫄면,2492,0,4,무침,채소류,면/만두,['레시피 재료 쫄면1인분 양파14 계란1개 양배추약간 당근14 깻잎5장 콩나물1줌 양념 재료계량기준어른수저 고추장1T 고추가루1T 식초2T 매실액1T 설탕15T 간장1T'],Lacto-Ovo_Vegetarian
누텔라프렌치롤토스트,316,0,1,굽기,달걀/유제품,디저트,['재료 식빵3장 누텔라잼3큰숟갈 달걀1개 설탕1숟갈 식용유4숟갈 슈가파우더1티스푼'],Omnivore
양파절임,2450,0,9,절임,채소류,양념/소스/잼,['재료 양파1개 간장12T 식초6T 물4T 설탕4T 고추냉이1T또는 겨자 부추적당량'],Super_Vegan
스팸마요주먹밥,3332,0,14,기타,가공식품류,밥/죽/떡,['재료 스팸200g 밥15주걱 마요네즈253T 미림2T 간장05T 설탕1T 후추적당량 김가루적당량 깨적당량 청양고추12개'],Omnivore
표고버섯전복볶음,6336,0,5,볶음,해물류,메인반찬,['재료 전복3마리 표고버섯34개 양파1개 마늘1알 청양고추1개 식용유적당량 미림2T또는 소주맛술 후추적당량 소금적당량 굴소스1T 참기름2T 전분물05T 통깨적당량 물2T'],Pescatarian
버터감자,1512,0,12,기타,채소류,기타,['재료 감자3개 버터4045g 물200ml 소금1t 설탕2T 파슬리가루적당량'],Lacto-Ovo_Vegetarian
물냉면,1224,0,1,끓이기,가공식품류,면/만두,['재료 2인분 기준 냉면육수2팩 냉면 면2인분 계란적당량 쌈무적당량 식초적당량 겨자적당량 오이취향껏 배취향껏'],Pescatarian
초코크로플,2433,0,1,굽기,달걀/유제품,디저트,['재료 크로와상생지2개 브라우니적당량 아이스크림2스쿱 초콜릿적당량'],Lacto-Ovo_Vegetarian
계란사골떡국,533,0,6,끓이기,기타,국/탕,['재료 사골곰탕1봉지 떡국떡400g 대파약간 계란2개 후춧가루약간 소금약간'],Omnivore
칠리새우,687,0,8,볶음,해물류,양식,['재료 냉동 새우살200g 양념 맛간장1T 케첩2T 설탕1T 맛술1T 식초05T 버터적당량 모짜렐라치즈약간 파슬리약간'],Pescatarian
꽈리고추메추리알장조림,3841,0,16,조림,달걀/유제품,밑반찬,['재료 깐메추리알1kg 꽈리고추1020개 새송이버섯12개 통마늘20개 양념 생수1L 코인육수2개 간장710T 맛술1T 올리고당2T'],Pescatarian
ABC주스,311,0,10,기타,채소류,차/음료/술,['abc주스 재료 사과2개 비트1개 당근3개 물1L 블루베리적당량'],Super_Vegan
쪽파야채참치전,644,0,17,굽기,가공식품류,메인반찬,['재료 캔참치2캔 쪽파5줄기 청양고추1개 홍고추12개 밀가루4큰술 계란2알 부침용 기름약간 양념 다진 마늘1작은술 참기름1작은술 소금12작은술 후춧가루약간'],Pescatarian
미나리낙지초무침,547,0,5,무침,해물류,메인반찬,['재료 데친 낙지2마리 미나리100g 양파14개 청양고추1개 홍고추12개 양념 고추장2큰술 고춧가루15큰술 매실청2큰술 식초3큰술 설탕12큰술 다진 마늘1큰술 통깨약간'],Pescatarian
돼지갈비,2244,0,46,기타,돼지고기,양념/소스/잼,['재료 돼지고기600g 물90ml 간장6T 설탕3T 참기름2T 후춧가루03T 다진마늘2T 올리고당2T 미림4T 생강청3T'],Omnivore
알배추된장무침,361,0,7,무침,채소류,밑반찬,['재료 알배추200g 소금1T 된장1T 고춧가루1T 다진마늘1T 매실액기스1T 참기름1T 통깨1T'],Super_Vegan
햄프렌치토스트,856,0,4,부침,밀가루,빵,['재료 식빵4장 잼4T 슬라이스햄2장 계란물 만들기 계란2개 우유6T 소금2꼬집 설탕1T 플레이팅 재료 딸기취향껏 블루베리취향껏'],Omnivore
치즈케이크,810,0,9,굽기,달걀/유제품,디저트,['재료 크림치즈150g 파르미지아노 레지아노 치즈파마산치즈10g 설탕75g 계란70g 바닐라 익스트랙14ts 황치즈 가루30g 생크림55g'],Lacto-Ovo_Vegetarian
씀바귀무침,313,0,1,무침,채소류,밑반찬,['재료 씀바귀1팩 식초2T 양념 고추장3T 고추가루2T 다진마늘1T 청량고추1개 홍초1T또는 식초 매실액1T 쌀엿1T또는 물엿 원당1T 통깨1T'],Super_Vegan
대파삼겹살찜,1622,0,14,삶기,돼지고기,기타,['대파 삼겹찜 재료 삼겹살600g 대파4뿌리 양파1개 통마늘1015개 생강1톨 소주12컵 새우젓 양념 무침 새우젓3큰술 설탕1스푼 고추가루12수저 참기름1스푼 깨소금조금'],Omnivore
율무보리밥,1125,0,4,끓이기,곡류,메인반찬,['재료 생 율무1컵말린것 보릿쌀1컵 물2컵'],Super_Vegan
순두부찜,233,0,8,기타,콩/견과류,밑반찬,['재료 순두부1봉 청양고추2개 양념장 진간장2스푼 액젓1스푼 고춧가루1스푼 맛술1스푼 통깨1스푼'],Pescatarian
소고기감자국,925,0,11,끓이기,소고기,국/탕,['재료 국거리용 소고기300g 감자2개 청양고추2개 양파12개 대파약간 양념 참기름2스푼 다진마늘15스푼 맛술1스푼 소금05스푼 고춧가루3스푼 국간장2스푼 후추약간'],Omnivore
돼지양념구이,297,0,4,굽기,돼지고기,메인반찬,['재료 돼지목살500600g 양념장 진간장3스푼 설탕2스푼 매실청1스푼 고춧가루05스푼 다진마늘2스푼 물엿1스푼 참기름05스푼 후추톡톡'],Omnivore
소고기당면전골,8507,0,657,끓이기,소고기,국/탕,['재료 소고기300g 느타리버섯05봉 청양고추2개 콩나물2줌 팽이버섯05봉 당면1줌 양념장 고추장1스푼 고춧가루2스푼 국간장3스푼 액젓2스푼 다진마늘1스푼 후추약간'],Omnivore
간장고등어조림,737,0,10,조림,해물류,밑반찬,['재료 고등어3마리 무14개 양념장 진간장6스푼 물엿6스푼 물6스푼 맛술6스푼 매실청2스푼 생강가루약간 후춧가루약간'],Pescatarian
모짜렐라치즈,6232,0,6,기타,기타,기타,['재료 저온살균 우유18L또는 우유 식초80ml'],Lacto-Ovo_Vegetarian
얼큰만둣국,3431,0,76,끓이기,가공식품류,국/탕,['재료 만두1봉 대파약간 양념 사골육수1팩 고춧가루3스푼 다진마늘2스푼 진간장1스푼 국간장2스푼 액젓2스푼'],Omnivore
스팸감자짜글이,217,0,3,끓이기,가공식품류,찌개,['레시피재료 스팸 캔1통 양파12 감자2개 청양고추2개 양념재료계량기준어른수저 다진마늘1T 간장3T 고추장1T 매실액1T 다시다05T 설탕1T 고추가루2T 쌈장1T'],Omnivore
명란마요토스트,477,0,11,기타,기타,디저트,['재료 명란젓1개 마요네즈3T 설탕12T 참치액12t 슬라이스치즈3장 식빵4장 버터2개20g'],Pescatarian
명란감자크림우동,1238,0,10,끓이기,채소류,면/만두,['재료 우동면1개 감자 큰 거1개 명란젓1줄 청양고추1개 생크림200ml 설탕1T 소금13T 후추약간 김가루약간'],Pescatarian
게살덮밥,1162,0,30,기타,달걀/유제품,밥/죽/떡,['재료 달걀2개 대파 흰 부분12대 크래미4조각 밥1인분 덮밥소스 23인분 물1컵 설탕2T 맛술2T 간장1T 굴소스1T 식초2T 전분물 전분1T 물2T'],Pescatarian
알배추보리새우전,739,0,5,부침,건어물류,기타,['재료 알배추68장 보리새우 부침가루12컵 튀김가루12컵 물1컵 소금1꼬집'],Pescatarian
시나몬크랙쿠키,2392,0,16,굽기,밀가루,디저트,['재료 무염버터47g 흑설탕25g 설탕35g 소금약간 노른자1개 바닐라오일약간 박력분70g 아몬드가루15g 시나몬파우더1g 베이킹파우더2g 베이킹소다1g 설탕적당량'],Lacto-Ovo_Vegetarian
사과브로콜리당근계란샐러드,1883,0,69,비빔,달걀/유제품,샐러드,['재료 삶은계란6개 사과1개 데친 브로코리12개 당근13등분 양념 마요네즈2큰술 소금약간 설탕1작은술 후추가루약간'],Lacto-Ovo_Vegetarian
감자찌는법,3831,0,7,찜,채소류,디저트,['재료 감자8개중간 사이즈'],Super_Vegan
토마토스크램블,443,0,7,볶음,채소류,메인반찬,['재료 완숙토마토1개 계란2개 소스 죽염3꼬집 올리브오일4스푼'],Lacto-Ovo_Vegetarian
삼겹살,233,0,7,굽기,돼지고기,기타,['삼겹살 구이 재료 삼겹살400g 모듬쌈적당량 무 채절임적당량 양파장아찌적당량 쌈장약간'],Omnivore
낙지미나리전,573,0,3,굽기,해물류,메인반찬,['재료 미나리100g 데친 낙지2마리 양파14개 청양고추1개 홍고추12개 부침가루재료 밀가루5큰술 계란1알 물2큰술 참치액젓1큰술 소금12작은술'],Pescatarian
단팥빵,756,0,7,굽기,밀가루,빵,['재료 우유145g 계란1개 설탕30g 이스트5g 소금5g 강력분270g 무염버터40g 팥앙금540g'],Lacto-Ovo_Vegetarian
두부볶음,1381,0,22,볶음,가공식품류,퓨전,['재료 두부1모 양념장 소금02 고춧가루05 간장3 다진 마늘05 올리고당1 참기름1'],Super_Vegan
오트밀요거트,933,0,3,기타,기타,디저트,['재료 오트밀40g 우유10g 요거트30g 토핑 과일소량또는 견과류'],Lacto-Ovo_Vegetarian
연근고추장무침,311,0,5,무침,채소류,밑반찬,['재료 연근124g 부추약간 깨소금1t 양념 고추장1t 고추가루1T 식초1t 매실청05t 설탕05t 다진마늘03t 통깨1t'],Super_Vegan
두부크로켓,521,0,8,튀김,채소류,밑반찬,['재료 건새우90100g 두부1모150g 청양고추1개 재료 진간장1큰술 참기름1큰술 다진마늘12큰술 전분가루12큰술'],Pescatarian
무계란찜,2420,0,21,찜,달걀/유제품,밑반찬,['재료 무40g 계란3개 꽃소금3꼬집 대파조금 물200ml'],Lacto-Ovo_Vegetarian
참치무침,2690,0,7,무침,가공식품류,밑반찬,['재료 양파12개 참치캔1캔135g 참기름1숟가락 다진 마늘1숟가락 고운 고춧가루1숟가락 참치액1숟가락 진간장1숟가락'],Pescatarian
꿀무즙,2385,0,7,절임,채소류,기타,['레시피재료 무300g 꿀300g'],Vegan
또띠아명란칩,455,0,7,굽기,가공식품류,과자,['재료 또띠아3장 명란젓3T 고춧가루03T 올리브유1T 후추조금 참기름1T 파슬리가루'],Pescatarian
새송이버섯들깨무침,419,0,8,무침,채소류,밑반찬,['재료 새송이버섯2개 양념 참치액05T 들기름1T 통깨1T 들깨가루2T'],Pescatarian
병아리콩과자,3880,0,54,굽기,콩/견과류,과자,['재료 삶은 병아리콩1컵 소금03T 올리브유1T'],Super_Vegan
삼겹살미나리구이,1788,0,2,굽기,돼지고기,메인반찬,['재료 삼겹살500g 미나리1봉 초고추장조금'],Omnivore
오이명란마요,3503,0,46,기타,채소류,기타,['재료 오이1개 명란2줄 마요네즈 올리브유또는 무염버터'],Pescatarian
모닝빵모카번,1096,0,7,굽기,밀가루,빵,['재료 모닝빵45개 가염버터20g 양념 커피2봉미니카누 물1T 계란12개 박력분40g 버터30g 설탕1T'],Lacto-Ovo_Vegetarian
땡초부추전,1583,0,8,부침,채소류,기타,['재료 부추1줌 땡초56개 부침가루1컵 물1컵 참치액1T 식용유'],Pescatarian
미숫가루,772,0,2,기타,가공식품류,차/음료/술,['재료 미숫가루56T 우유300ml 꿀3T'],Lacto-Ovo_Vegetarian
토마토살사소스,3279,0,15,기타,채소류,양념/소스/잼,['재료 토마토12개 양파14개 핫소스12T 케첩2T 식초12T 설탕12T 올리브오일2T 소금1꼬집 후추적당량 파슬리가루적당량'],Super_Vegan
만두꽃전,103,0,11,부침,달걀/유제품,면/만두,['재료 냉동만두280g 계란2개 청양고추1개 케찹넉넉히'],Omnivore
계란오믈렛,5512,0,17,굽기,달걀/유제품,양식,['재료 계란3알 후추적당량 소금적당량 우유2T 슬라이스치즈1장또는 2장 버터적당량 토마토살사소스적당량'],Lacto-Ovo_Vegetarian
망고스무디,2334,0,10,기타,과일류,차/음료/술,['재료 망고적당량 우유망고 양의 115정도 꿀2T또는 설탕'],Lacto-Ovo_Vegetarian
두부간장조림,106,0,0,조림,콩/견과류,밑반찬,['재료 두부13 다시마57장 양념 맛간장2T 물200ml'],Super_Vegan
삼겹살간장수육,316,0,3,삶기,돼지고기,메인반찬,['재료 삼겹살 수육용1줄 건 생강1줌 월계수잎2장 맥주12병 양념 간장200ml'],Omnivore
만두그라탕,155,0,2,기타,기타,면/만두,['재료 냉동만두10개 토마토파스타소스1병 양파1개 옥수수콘12캔 모짜렐라치즈150g 파슬리가루약간'],Omnivore
퀴노아샐러드,912,0,9,무침,곡류,샐러드,['재료 60인분 퀴노아400g 오이6개 샐러리500g 적양파3개 양념 올리브유200ml 식초50ml 유자청200ml 소금50g 후추50g 다진마늘10g'],Super_Vegan
미나리생채비빔밥,1080,0,19,무침,채소류,밑반찬,['재료 미나리1줌 멸치액젓5큰술 고춧가루3큰술 다진 마늘1큰술 매실청1큰술 참기름1큰술 간 깨1큰술'],Pescatarian
헤이즐넛크림라떼,2424,0,4,기타,달걀/유제품,차/음료/술,['크림베이스재료 동물성 휘핑크림70g 설탕10g 재료 얼음적당량 우유110ml 헤이즐넛시럽15g 에스프레소2샷 코코아파우더적당량'],Lacto-Ovo_Vegetarian
브로콜리감자수프,1193,0,12,끓이기,채소류,스프,['재료 감자3개 브로콜리1송이 우유600ml 생크림 우유100ml 감자 삶은 물100ml 체다치즈1장 파르니지아노 레지아노치즈듬뿍또는 파마산 치즈 소금1스푼취향에 따라 추가 후추약간 브로콜리 데치기용 물1L 소금1스푼 감자 삶기용 물500ml 소금1티스푼'],Lacto-Ovo_Vegetarian
두부면김밥,696,0,9,기타,콩/견과류,밥/죽/떡,['재료 두부면100g 김밥김1장 슬라이스치즈1장 크래미2개 빨강 파프리카14개 노랑 파프리카14개 소금1꼬집 참기름 통깨조금 찐 고구마50g선택재료'],Pescatarian
전자레인지간장계란밥,114,0,1,회,쌀,메인반찬,['재료 계란2개 밥1공기 양념 간장2T 물2T 깨조금 참기름025T'],Lacto-Ovo_Vegetarian
콩나물오징어볶음,821,0,7,볶음,해물류,메인반찬,['재료 오징어2마리 양파12개 콩나물2줌 전분가루1숟가락생략가능 양념 간장1큰술 고추장1큰술 고춧가루12큰술 맛술1큰술 매실액1큰술설탕 다진마늘12큰술 파12줌'],Pescatarian
로메인샐러드,504,0,4,굽기,달걀/유제품,샐러드,['계란 삶기 달걀10개 소금03 베이킹파우더약간 식초1 로메인 샐러드 재료 로메인 상추56장 삶은달걀2개 토마토1개 블루베리1015개 발사믹 드레싱 발사믹 식초1 올리브유2 스테비아05설탕 1 소금1꼬집 후춧가루약간'],Lacto-Ovo_Vegetarian
해장짬뽕라면,453,0,4,끓이기,밀가루,면/만두,['재료 탕 국먹고싶은만큼 물250ml 라면2개'],Omnivore
시래기덮밥,130,0,3,조림,채소류,밥/죽/떡,['재료 시래기1줌 양파12개 참치1캔 대파1줄기 양념 된장1T 고추장1T 다진마늘1T 맛술1T 고추가루1T 간장1T 설탕05T 들기름2T'],Pescatarian
딸기머핀,376,0,1,굽기,밀가루,과자,['재료 머핀믹스1봉 계란2개 우유40ml 버터65ml 건조 딸기 휘핑크림'],Lacto-Ovo_Vegetarian
뽕잎나물볶음,1698,0,1,볶음,채소류,밑반찬,['재료 말린 뽕잎 나물70g 설탕1큰술 대파1대 양념재료 간 마늘1큰술 참치 액2큰술 국간장1큰술 소주2큰술 들기름2큰술 참기름1큰술 식용유1큰술 생수120ml 통깨1큰술'],Pescatarian
로열밀크티,264,0,4,끓이기,기타,차/음료/술,['재료 물150g 홍차잎10g 설탕15g 우유180g'],Lacto-Ovo_Vegetarian
어묵고추잡채,3158,0,31,볶음,기타,밑반찬,['재료 사각어묵5장 청양고추3개 홍고추2개 양파12 양송이버섯2개 양념 진간장1T 굴소스1T 맛술2T 올리고당1T 다진마늘1T 고추기름1T'],Pescatarian
모닝빵계란빵,1525,0,23,굽기,기타,빵,['재료 모닝빵2개 계란2개 마요네즈2T 소금2꼬집 체다치즈1개 파슬리가루조금'],Lacto-Ovo_Vegetarian
햄치즈토스트,1285,0,12,굽기,달걀/유제품,빵,['재료 식빵1장 슬라이스 치즈1장 샌드위치 햄1장 계란12개 버터10g 황설탕081큰술 소금12꼬집 올리브오일약간'],Omnivore
참치마요주먹밥,3023,0,37,기타,기타,밥/죽/떡,['재료 밥250g 참치캔 85g1캔 계란1개 김밥용 단무지 2줄36g 조미김 5g1봉지 마요네즈15큰술 올리브오일살짝 소금1꼬집 통깨솔솔 케첩조금'],Pescatarian
민물새우시금치된장국,924,0,4,끓이기,채소류,국/탕,['재료 시금치300g 민물새우100g 된장4큰술 천연조미료 가루2큰술 다진마늘1큰술 고춧가루1작은술 물15L'],Pescatarian
당근계란김밥,2456,0,25,기타,채소류,메인반찬,['재료 밥15공기 당근1개 김밥김3장 달걀2개 단무지2줄 소금12스푼 참기름12스푼 통깨12스푼 가루 육수1포'],Pescatarian
고추장돼지불고기,12568,0,34,볶음,돼지고기,메인반찬,['재료 돼지고기 앞다리살 불고기용600g 후추넉넉하게 식용유3숟갈 마늘10알 꽃소금2꼬집 야채 양파13개 대파1줌 배춧잎 작은 것10개 느타리버섯1줌 불고기양념 고추장1숟가락듬뿍 진간장2숟갈 고춧가루3숟갈 매실엑기스2숟갈 원당12숟갈'],Omnivore
불닭볶음면오믈렛,903,0,7,볶음,밀가루,면/만두,['재료 불닭볶음면1개 계란2개 슬라이스치즈1장 김가루조금'],Omnivore
브로컬리숙회,1220,0,11,데치기,채소류,밑반찬,['재료 브로컬리1송이 식초1T 소금05T 양념 초고추장'],Super_Vegan
트러플오일버섯파스타,751,0,10,기타,버섯류,양식,['재료 느타리버섯1팩 양송이버섯68개 통마늘8알 새싹채소1줌 파스타면2인분 양념 올리브오일 트러플오일 소금1t 그라나파다노치즈생략가능'],Lacto-Ovo_Vegetarian
어묵굴소스볶음,247,0,2,볶음,가공식품류,밑반찬,['재료 사각어묵7장 양파12개 피망1개 마늘1큰술 카놀라유2큰술 굴소스15큰술 만능간장2큰술 꿀1큰술 통깨'],Pescatarian
오버나이트오트밀,3627,0,14,기타,곡류,밥/죽/떡,['재료 오트밀4T 우유6T또는 두유 블루베리810알 사과13쪽 하루견과1봉 꿀1T또는 알룰로스'],Lacto-Ovo_Vegetarian
양파볶음,759,0,9,볶음,채소류,밑반찬,['재료 양파 큰거1개 만능간장2큰술 식용유1큰술 들기름1큰술 통깨'],Super_Vegan
짬뽕라면,1122,0,17,끓이기,기타,면/만두,['주재료 사각어묵5장 진짬뽕2봉지 물14L 양파14개 알배기배추4장 대패삼겹살100g 냉동 새우50g 청경채2개 숙주나물150g 대파12단 양념 진간장1T 설탕12T 맛술1T 고춧가루1T'],Omnivore
김치녹두전,1561,0,8,부침,기타,메인반찬,['재료10cm사이즈10장 신김치457g 돼지고기 다짐 육356g 새송이버섯1개 표고버섯2개 양파12개 대파1대 반죽 녹두가루150g 달걀1개 물120125ml 소금12t 돼지고기 밑간 간장1T 미림1T 후추15바퀴'],Omnivore
돼지고기김치두루치기,4240,0,21,볶음,돼지고기,메인반찬,['재료 김치1포기 대파1단 양파1개 돼지고기 앞다리살600g 양념 진간장3T 고춧가루2T 맛술2T 설탕1T 매실액1T 다진마늘2T 후추조금'],Omnivore
두부참치전,1445,0,27,부침,가공식품류,메인반찬,['재료 두부12모 칵테일 새우150g 양파12개 대파12단 참치통조림1캔 마늘2알 계란1개 양념 진간장1T 맛술1T 소금조금 후추조금'],Pescatarian
당근라페베이글샌드위치,576,0,1,무침,채소류,빵,['재료 당근라페듬뿍 로메인3장 사과16개 크림치즈듬뿍 베이글1개'],Lacto-Ovo_Vegetarian
깔라마리오징어튀김,2136,0,2,튀김,해물류,메인반찬,['재료 오징어1마리 소금1꼬집 후추약간 빵가루1컵 튀김가루1스푼 오일300ml 튀김반죽 튀김가루100ml 물100ml 얼음34개 타르타르 소스 양파14개 마요네즈3스푼 설탕12스푼 레몬즙15스푼 소금약간 후추약간'],Pescatarian
무사과주스,600,0,9,기타,기타,차/음료/술,['재료 사과12개 무50g 물100ml또는 탄산수 레몬12개또는 귤 선택재료 꿀약간선택'],Vegan
가지된장구이,1441,0,46,굽기,채소류,밑반찬,['재료 가지1개 다진대파1큰술 홍고추1개 된장1큰술 진간장05큰술 다진마늘05큰술 올리고당1큰술 참기름05큰술 식용유2큰술 통깨조금'],Super_Vegan
연어아보카도포케샐러드,3453,0,40,무침,해물류,샐러드,['재료 훈제연어200g 밥210g 아보카도1개 오이80g 로메인상추35g 포케 소스 소금1작은술 참기름2큰술 맛술1큰술 매실청1큰술 후추톡톡 와사비1작은술 쯔유1큰술 다진대파1큰술 다진마늘1큰술 단촛물 식초2큰술 설탕1큰술 소금05작은술'],Omnivore
수제피클,3708,0,24,끓이기,채소류,퓨전,['재료 오이2개 빨강파프리카1개 노랑파프리카12개 양배추200g 피클링스파이스1큰술 월계수잎34장 물450ml 식초200ml 설탕200g 베이킹소다12큰술'],Super_Vegan
멸치육수,573,0,8,끓이기,건어물류,기타,['재료 물2L 국물용 멸치2022마리 디포리45마리 보리새우78마리 다시마45장 무15개 양파1개 대파1대 표고버섯2개'],Pescatarian
종이컵계란빵,1667,0,15,찜,달걀/유제품,디저트,['재료 계란4개 핫케이크 가루1종이컵 우유1종이컵 올리브오일1큰술 건살구1개토핑용 양념 설탕1큰술 소금4꼬집'],Lacto-Ovo_Vegetarian
크림치즈블루베리파이,1019,0,13,굽기,가공식품류,빵,['파이 1개 기준 식빵1장 블루베리잼적당량 크림치즈적당량 계란1알'],Lacto-Ovo_Vegetarian
계란후라이,944,0,5,기타,달걀/유제품,밑반찬,['재료 계란1알 소금적당량 후추적당량 식용유적당량'],Lacto-Ovo_Vegetarian
무밥,2999,0,4,기타,쌀,밥/죽/떡,['재료 쌀1000g 물 무1000g 굵은소금1T 들기름2T 양념 간장 간장10T 고추1개 양파12개 고춧가루적당량 통깨적당량'],Super_Vegan
수박화채,4246,0,3,기타,과일류,기타,['재료 수박14통800900g 사이다250ml 우유350400ml 후르츠칵테일300g 꿀 적당량또는 설탕 생략가능 얼음적당량생략가능'],Lacto-Ovo_Vegetarian
쌈장,12779,0,8,비빔,가공식품류,양념/소스/잼,['재료 고추장1T 된장2T 대파6cm 마늘3알 통깨적당량 고춧가루적당량 꿀1t 진간장05T 들기름05T'],Vegan
딸기잼스무디,1386,0,12,기타,가공식품류,차/음료/술,['재료 얼음적당량 우유200ml 딸기잼4T 레몬즙1t생략가능'],Lacto-Ovo_Vegetarian
무시래기볶음,379,0,1,볶음,채소류,밑반찬,['재료 시래기 삶은거300g 깻잎6장 참치1캔 양파12개 마늘1T 들기름3T 멸치다시육수200ml 된장3 고추장1 소금약간'],Pescatarian
군만두조림,1812,0,9,조림,가공식품류,찌개,['재료 만두450g 양파12개 팽이버섯1봉지 대파1대 양념장 재료 간장1T 굴소스1T 케첩1T 설탕05T 고춧가루2T 다진 마늘1T 물200ml'],Omnivore
둘세데레체라떼,2224,0,4,기타,달걀/유제품,차/음료/술,['재료 얼음적당량 우유150ml 둘세데레체 시럽17g 에스프레소2샷'],Lacto-Ovo_Vegetarian
사과계란말이꽃,154,0,2,부침,달걀/유제품,밑반찬,['재료 계란5개 맛살2개 검은깨약간 소금약간'],Pescatarian
돼지고기목살김치찌개,1208,0,18,끓이기,돼지고기,찌개,['재료 김치12컵 목살300g 두부1모 대파2T 양념 참기름1T 식용유1T 다진마늘1T 맛술15T 간장3T 올리고당15T 고춧가루1T 다진마늘05T 물800ml'],Omnivore
쑥된장국,8696,0,41,끓이기,채소류,국/탕,['재료 쑥100g 대파12대 육수750ml 양념 범일콩 된장15큰술 다진마늘12큰술 국간장1큰술 멸치액젓1큰술'],Pescatarian
생강청,231,0,2,끓이기,채소류,스프,['재료 샐러리 당근 양파 생강청 소금'],Super_Vegan
가리비구이,1441,0,7,굽기,해물류,기타,['재료 홍가리비10여개 모짜렐라치즈80g 당근30g 브로콜리30g 블랙올리브5개 초고추장약간 소주12컵'],Pescatarian
풋마늘무침,1142,0,6,무침,채소류,밑반찬,['재료 풋마늘대180g 진미채40g 맛술1큰술 풋마늘대 데칠때 소금12큰술 풋마늘대 세척 식초조금 양념 설탕12큰술 매실청12큰술 식초1큰술 고추장2큰술 통깨1큰술 참기름1큰술'],Pescatarian
건새우꽈리고추볶음,1839,0,18,볶음,건어물류,밑반찬,['재료 마른 새우2컵 꽈리고추10개 양념 간 마늘1큰술 설탕1큰술 맛술1큰술 진간장1큰술 고추장2큰술 올리고당1큰술 참기름1큰술 통깨12큰술'],Pescatarian
낙지볶음우동,564,0,5,볶음,해물류,면/만두,['재료 우동면1인분 낙지 데친거2마리 통마늘5알 양파14개 대파1대10cm 목이버섯 불린거5장 베트남 건고추10개 고추기름3큰술 소금약간 후춧가루약간 양념 진간장1큰술 굴소스15큰술 설탕15큰술 맛술1큰술 피시소스1작은술 참기름2큰술'],Pescatarian
당근라페샐러드,3337,0,7,무침,채소류,샐러드,['당근라페 당근2개 꿀15큰술 올리브유15큰술 레몬즙15큰술 홀그레인 머스터드1큰술 소금1큰술'],Vegan
냉이나물된장무침,351,0,1,무침,채소류,밑반찬,['재료 냉이100g 소금1작은술 양념 된장23큰술 고춧가루12큰술 다진 마늘1작은술 참기름약간 통깨약간'],Super_Vegan
에그계란마요샌드위치,2548,0,29,기타,달걀/유제품,기타,['에그마요 계란5개 마요네즈23큰술 알룰로스12큰술 홀그레인 머스터드12큰술 소금약간 후추약간 모닝빵 에그마요 샌드위치 모닝빵4개 파슬리가루조금'],Lacto-Ovo_Vegetarian
닭안심찹스테이크,1375,0,16,볶음,닭고기,메인반찬,['재료 닭 안심7개 빨간 파프리카12개 양파12개 대파12개 다진마늘1숟갈 식용유2숟갈 닭고기밑간 설탕2티스푼 맛소금1꼬집 후추2꼬집 맛술1숟갈 소스 굴소스1큰숟갈 케첩4큰숟갈 진간장1숟갈 물엿2숟갈 맛술1숟갈'],Omnivore
흑임자비빔국수,524,0,11,끓이기,가공식품류,면/만두,['흑임자 비빔국수 재료 생면2인분 비빔 소스2인분 김치2인분 오이2인분 참기름2인분 깨조금'],Pescatarian
홍진미채볶음,1603,0,13,볶음,건어물류,밑반찬,['사용 재료 홍 진미채100g 물적당히 양념 재료 원당2T 다진 마늘23t 진간장2t 마요네즈1t 고추장23T 물3T'],Pescatarian
미나리제육볶음,997,0,3,볶음,돼지고기,메인반찬,['재료 미나리1줌 돼지고기 앞다리 살500g 양파 작은거1개 고추장1큰술 고춧가루15큰술 간장4큰술 청주2큰술 후추12작은술 매실청1큰술 생강청1큰술 다진 마늘1큰술 참기름1큰술 통깨1큰술'],Omnivore
아스파라거스햄볶음,4158,0,19,볶음,채소류,밑반찬,['재료 아스파라거스230g 햄85g 양파12개 대파12개 간마늘1스푼 식용유2스푼 양념 진간장2스푼 물엿15스푼 맛술1스푼 불닭소스12스푼 굴소스1스푼'],Omnivore
무채봄동겉절이,830,0,12,무침,채소류,김치/젓갈/장류,['재료 봄동 작은크기2덩이 무1주먹월동무 대파조금 양념 고추가루34큰술 다진마늘1큰술 까나리 액젓23큰술 참치액1작은술 설탕1작은술스테비아 통깨조금'],Pescatarian
